QGC WPL 110
0	1	0	16	2.0	0	0	0	50.50685605094066	45.91027637638396	0	1
1	0	3	16	2.0	0	0	0	50.50450464799396	45.90671535153017	50.0	1
2	0	3	16	2.0	0	0	0	50.50453383036451	45.906677964776904	50.0	1
3	0	3	16	2.0	0	0	0	50.50689471353232	45.91025334672038	50.0	1
4	0	3	16	2.0	0	0	0	50.506933376123975	45.9102303170568	50.0	1
5	0	3	16	2.0	0	0	0	50.504563012735055	45.90664057802364	50.0	1
6	0	3	16	2.0	0	0	0	50.50459219510561	45.90660319127038	50.0	1
7	0	3	16	2.0	0	0	0	50.50697203871563	45.91020728739321	50.0	1
8	0	3	16	2.0	0	0	0	50.50701070130729	45.91018425772963	50.0	1
9	0	3	16	2.0	0	0	0	50.504621377476155	45.906565804517115	50.0	1
10	0	3	16	2.0	0	0	0	50.5046505598467	45.90652841776385	50.0	1
11	0	3	16	2.0	0	0	0	50.50704936389894	45.91016122806605	50.0	1
12	0	3	16	2.0	0	0	0	50.5070880264906	45.910138198402464	50.0	1
13	0	3	16	2.0	0	0	0	50.504679742217256	45.90649103101058	50.0	1
14	0	3	16	2.0	0	0	0	50.5047089245878	45.90645364425732	50.0	1
15	0	3	16	2.0	0	0	0	50.507108918830426	45.91008825701432	50.0	1
16	0	3	16	2.0	0	0	0	50.50711518400562	45.91001616387339	50.0	1
17	0	3	16	2.0	0	0	0	50.50473810695836	45.906416257504056	50.0	1
18	0	3	16	2.0	0	0	0	50.5047672893289	45.90637887075079	50.0	1
19	0	3	16	2.0	0	0	0	50.50712144918081	45.90994407073244	50.0	1
20	0	3	16	2.0	0	0	0	50.507127714356	45.90987197759151	50.0	1
21	0	3	16	2.0	0	0	0	50.50479647169945	45.90634148399753	50.0	1
22	0	3	16	2.0	0	0	0	50.504825654070004	45.906304097244266	50.0	1
23	0	3	16	2.0	0	0	0	50.50713397953119	45.909799884450564	50.0	1
24	0	3	16	2.0	0	0	0	50.50714024470638	45.90972779130963	50.0	1
25	0	3	16	2.0	0	0	0	50.50485483644055	45.906266710491	50.0	1
26	0	3	16	2.0	0	0	0	50.5048840188111	45.90622932373773	50.0	1
27	0	3	16	2.0	0	0	0	50.50714650988157	45.909655698168685	50.0	1
28	0	3	16	2.0	0	0	0	50.50715277505676	45.90958360502775	50.0	1
29	0	3	16	2.0	0	0	0	50.50491320118165	45.90619193698447	50.0	1
30	0	3	16	2.0	0	0	0	50.5049423835522	45.90615455023121	50.0	1
31	0	3	16	2.0	0	0	0	50.507159040231954	45.909511511886805	50.0	1
32	0	3	16	2.0	0	0	0	50.50716530540714	45.90943941874587	50.0	1
33	0	3	16	2.0	0	0	0	50.504971565922745	45.906117163477944	50.0	1
34	0	3	16	2.0	0	0	0	50.5050007482933	45.90607977672468	50.0	1
35	0	3	16	2.0	0	0	0	50.50717157058234	45.909367325604926	50.0	1
36	0	3	16	2.0	0	0	0	50.507177835757524	45.90929523246399	50.0	1
37	0	3	16	2.0	0	0	0	50.505029930663845	45.90604238997142	50.0	1
